word,chinese,alias
notice board,告示板
tap water,自来水
leaking pipes,管道泄漏
fishing licenses,捕捞许可证
audio recording,录音
sound quality,声音品质
field note,字段注释
video recording,视频录制
museum archives,博物馆档案馆
family relationship,家庭关系
orientation session,新生会议
lab work,实验室工作
organic food,有机食品
good advertising,好广告
ancient mirror,古镜
coffee table,咖啡桌
collection time,采集时间
side door,侧门
traditional definition,传统定义
current position,当前位置
car wash,洗车
annual fee,年费
fund raising,筹集资金
bank account,银行账户
self assessment,自我评价
weekly assignments,每周作业
bright clothes,鲜的衣服
oral presentation,口头介绍
model guide,模型指南
specialised expert,专家
peak season,旺季
countryside living,农村生活
exotic species,外来物种
financial planning,财务计划
aerial photographs,航空摄影
language barriers,语言障碍
gold coast,黄金海岸
ice rink,溜冰场
horsehair,马毛
modern usage,现代使用
medical applications,医学应用
Persian dye,波斯染料
bird park,鸟园
bus tour,巴士之旅
budget activity,预算活动
guided walking tour,引导步行游览
special ingredients,特殊成分
bumblebee,大黄蜂
research fund,研究基金
extensive educational activities,广泛的教育活动
current subject,当前主题
home welcome,欢迎回家
water fee,水费
soil samples,土壤样品
beach liens,海滩上的留置权
famous concert,著名音乐会
nomad clothing,游牧民族服装
global products,全球产品
local demand,局部需求
management strategies,管理策略
global management,全球管理
shell and nail,壳和钉
food environment,食物环境
cost of fuel,燃料成本
car club,汽车俱乐部
lemon and orange,柠檬和橘子
costume party,服装派对
photograph exhibition,摄影展
career perspective,职业观
sales technology,销售技术
medical purpose,医学目的
hot spring,温泉
special advice,特别建议
outdoor programmes,户外节目
free caring,自由关怀
family photo,家庭照片
extra income,额外收入
dramatic effect,戏剧效果
fresh meat,新鲜肉类
desert locations,沙漠地点
salt trade,盐贸易
high absence rate,高缺勤率
missed work,错过工作
external factors,外部因素
financial loss,财损
vocational course,职课程
working hours,工作
specific domestic work,具体的国内工作
unfurnished apartment,不带家具的公寓
upper level,上一级
modern language,现代语言
resources room,资源室
Law Department,法律
cautious languages,谨慎的语言
causes and effects,原因及结果
scientific evidence,科学证据
New Year's Day,新年
free entry,自由进入
historical fans,历史迷
cuisine festivals,美食节
international chef,国际厨师
multimedia materials,多媒体素材
locomotive engines,机车发动机
uniform costume,制服装
voting ages,投票年龄
plate safety shield,安全防护罩
flour outlet,面粉出口
grain shatter,谷物破碎
chemical compound,化学复合物
fossil fuels,化石燃料
human activities,人类活动
blood system,血液系统
side gate,侧浇口
sleeping bag,睡袋
business management,商务管理
phone interviews,电话访谈
public sectors,公共部门
problem solving,解决问题
essay writing,论文写作
global roaming service,全球漫游业务
forest valley campsite,森林山谷营地
currency problem,货币问题
insufficient banknote,不够的钞票
cave entrances,洞穴入口
transition zone caves,过渡带洞穴
colour blind,色盲
small taxi hiring,小出租车招聘
organic food vegetable,有机食品蔬菜
overseas expansion opportunities,海外扩张机会
order form,订单形式
order contract,订单合同
delivery note,票据
dance course,舞蹈课程
legal legislation,法律法规
clear structure,结构清晰
ice pack,冰袋
regular exercises,规律训练
theoretical dialogue,理论对话
cinema versions,电影版本
performance script,演出脚本
warning signs,警告标志
traffic circulation,交通循环
legal requirement,法律要求
national holiday,国家假日
photography record,摄影记录
refreshment and souvenir,小吃和纪念品
avenue of flags,旗帜大道
visitor centre,游客中心
diploma course,文凭课程
international reputation,国际声誉
occupational therapy,职业治疗
personal tutor system,个人导师制
ancient shells,古贝壳
evidence of currency,货币证据
brick making,制砖
Roman invasion,罗马入侵
Roman coins,罗马硬币
garden materials,园林材料
window glass,玻璃
camp tent,露营帐篷
salt tablet,盐片
snack kit,快餐盒
healthy diet,健康饮食
camping information,露营信息
department stores,百货商店
public transport,公共交通
summer clothes,夏季服装
dance show,舞蹈表演
discount card,折扣卡
wing bones,翼骨
human interference,人为干扰
animal competition,动物竞争
coastal moa,沿海恐
stout-legged moa,粗腿恐
sand base,砂基
high protection,高保护
fiber diet,膳食纤维
feeding time,食时间
constant temperature,恒温
body fluids,体液
kidney problems,肾问题
information display,信息显示
program assessment,程序评估
case management,个案管理
team building,团队建设
original vacuum problem,原始真空问题
wild animal population,群种
reusable bag,可循环使用袋子
free repair,免费修理
entry level,入门水平
changing room,更衣室
transportation cost,运输成本
choice of modules,模块的选择
background reading,背景阅读
sustainable planting process,持续种植
labour cost,人工成本
maintenance equipment,维护设备
protective clothing,防护服
triangle shaped,三角形
night club,夜总会
taster sessions,品师会议，试听课
safety skills,安全技能
group sessions,小组会议
climbing course,攀岩课程
tented accommodation,帐篷住宿
mountain climbing,登山
skeleton coast,骷髅海岸
target readers,标读者
previous reports,以前的报告
purpose of essay,论文目的
relevant materials,相关材料
boiled water,热水
health international,国际健康
maximum output,最大输出
shared time,共享时间
basic cover,基涵盖
global listening strategy,整体听力策略
note-taking skills,记笔记技巧
eye contact,目光接触
mineral soil,矿物质土壤
volcanic dust,火山灰
pressure heat,高压热
intermediate stage,中间阶段
