word,chinese,alias
bananas,香蕉
judo,柔道
fiancee,未婚妻
discussion,讨论
piano,钢琴
reconstruction,重建
failure,失败
voicemail,语音信箱
warnings,警告
chess,国际象棋
squirrel,松鼠
restriction,限制
toleration,忍耐
hectares,公顷
kangaroo,代数
rubber,橡胶
battle,战争
grams,克
disorders,紊乱
ditch,沟
peas,豌豆
porcelain,瓷器
crops,作物
plough,犁
windmills,风车
duration,持续时间
restroom,厕所
contribution,贡献
acknowledgement,确认
representative,代表
bookshelf,书
logo,标志
volunteers,志愿者
stripe,条纹
Mars,火星
balcony,阳台
invasion,入侵
competition,竞争
polytechnic,理工的
community,社区
laundry,洗衣
champion,冠军
textbook,教材
preservation,保存
cosmetics,化妆品
message,消息
demonstration,示范
mite,螨虫
virus,病毒
personnel,人员
nerve,神经
deposit,存款押金
pot,锅
teenagers,青少年
limitation,限制
relationship,关系
composers,作曲家
calendar,日历
gardening,园艺
necklace,项链
footwear,鞋子
fault,故障
sug,投币机的代用币
snails,蜗牛
indicator,指示器
fishery,渔业
density,密度
insulation,绝缘
friction,摩擦
apron,围裙
suncream,防晒霜
refrigerator,冰箱
hallway,走廊
hive,蜂巢
fund,基金
reputation,声誉
studio,工作室
motivation,动机
jewelry,珠宝
diet,饮食
minority,少数民族
sightseeing,观光
cabin,小屋
teapot,茶壶
gloves,手套
niece,侄女
campaign,竞选
centralization,集中
worms,虫子
habitat,息地
speech,演讲
grape,葡萄
exposure,曝光
trays,托盘
stuff,东西
sunglasses,太阳镜
celebrations,庆祝
pyramid,金字塔
payment,付款
shipping,航运
basin,盆地
nationality,国籍
factors,因素
outcomes,结果
cupboard,橱柜
documents,文件
exhibition,展览
dialogue,对话
hammer,锤子
quantity,量
rivals,竞争对手
ecosystem,生态系统
jam,果酱
shampoo,洗发水
congestion,拥塞
twilight,黄昏，暮光
passport,护照
qualification,资格
responsibility,责任
competitors,竞争对手
labour,劳动
label,标签
aspirin,阿司匹林
dolphin,海豚
soldiers,士兵
commodity,商品
whales,鲸
absence,缺席
genders,性别
workforce,劳动力
generalisation,概括，总结性
vegetation,植被
voting,投票
regulator,调节器
incubator,孵化器
manpower,人力
extinction,灭绝
radio,无线电
candle,蜡烛
obesity,肥胖
categories,类别
farmhouse,农舍
windsurfing,滑浪风帆
van,厢式货车
authority,权威
determination,决定
camel,骆驼
sprain,扭伤
critic,评论家
biography,传记
stage-set,舞台布景
regulation,调节
sticks,棒
wedding,婚礼
documentary,纪录片
helmet,头盔
facilities,设施
wallet,钱包
extinct,灭绝
moa,恐鸟
wreckage,残骸
roof,屋顶
certificate,证书
interpreter,口译者
forestry,林业
irrigation,灌溉
nutrient,营养
humidity,湿度
contaminants,污染物
freedom,自由
draft,手稿
dictation,听写
amber,琥珀
fungi,真菌
bridge,桥
lighting,照明
storage,存储
graffiti,涂鸦
bins,垃圾箱
sauna,桑拿
landscape,景观
bronze,青铜
calorie,热量
dinosaur,恐龙
fossils,化石
attitude,态度
investment,投资
tortoise,乌龟
Cantonese,粤语
purchase,购买
literature,文学
degradation,降解
erosion,侵蚀
fishery,渔业
innocence,清白
supervision,监督
content,内容
subtitles,字幕
resin,树脂
sunlight,阳光
concrete,混凝土


